ter,region_name,region_group
82,Республика Дагестан,Северный Кавказ
96,Чеченская Республика,Северный Кавказ
83,Кабардино-Балкарская Республика,Северный Кавказ
90,Республика Северная Осетия-Алания,Северный Кавказ
07,Ставропольский край,Северный Кавказ
26,Республика Ингушетия,Северный Кавказ
79,Республика Адыгея,Северный Кавказ
91,Карачаево-Черкесская Республика,Северный Кавказ
45,г. Москва,Богатые регионы
40,г. Санкт-Петербург,Богатые регионы
46,Московская область,Богатые регионы
03,Краснодарский край,Средние регионы
60,Ростовская область,Средние регионы
80,Республика Башкортостан,Средние регионы
92,Республика Татарстан,Средние регионы
12,Астраханская область,Прикаспий
85,Республика Калмыкия,Прикаспий
18,Волгоградская область,Прикаспий
01,Алтайский край,Сибирь и Дальний Восток
93,Республика Тыва,Сибирь и Дальний Восток
84,Республика Алтай,Сибирь и Дальний Восток
81,Республика Бурятия,Сибирь и Дальний Восток
76,Забайкальский край,Сибирь и Дальний Восток
99,Еврейская автономная область,Сибирь и Дальний Восток
