ter,cluster,count
01,0,4461
01,1,3169
01,2,2411
01,3,3592
01,4,169
03,0,5909
03,1,4277
03,2,2702
03,3,4101
03,4,180
07,0,4137
07,1,3419
07,2,2314
07,3,3438
07,4,172
12,0,1792
12,1,3236
12,2,2591
12,3,2745
12,4,48
18,0,4359
18,1,4352
18,2,3512
18,3,4182
18,4,180
26,0,1080
26,1,475
26,2,1772
26,3,4391
26,4,359
40,0,4219
40,1,9403
40,2,2205
40,3,656
40,4,28
45,0,5898
45,1,17326
45,2,3116
45,3,884
45,4,135
46,0,6531
46,1,7816
46,2,1882
46,3,1753
46,4,128
60,0,6015
60,1,4549
60,2,2316
60,3,3678
60,4,317
76,0,2836
76,1,2716
76,2,2712
76,3,3403
76,4,153
79,0,2516
79,1,1882
79,2,2145
79,3,3103
79,4,155
80,0,4573
80,1,4828
80,2,4796
80,3,5682
80,4,171
81,0,3164
81,1,1720
81,2,2539
81,3,3352
81,4,246
82,0,637
82,1,758
82,2,4977
82,3,3478
82,4,7132
83,0,2865
83,1,2236
83,2,2236
83,3,4681
83,4,327
84,0,2228
84,1,830
84,2,2337
84,3,3251
84,4,164
85,0,2438
85,1,1863
85,2,1960
85,3,3376
85,4,215
90,0,2873
90,1,1939
90,2,2127
90,3,3453
90,4,171
91,0,2171
91,1,1219
91,2,2234
91,3,4075
91,4,472
92,0,5854
92,1,5158
92,2,3393
92,3,4594
92,4,283
93,0,1435
93,1,1642
93,2,4615
93,3,5280
93,4,265
96,0,1434
96,1,726
96,2,3243
96,3,6638
96,4,680
99,0,1259
99,1,1479
99,2,1371
99,3,1075
99,4,83
