,natdox,r2v78,r2v53,r2v4,r1v16,neprod,kvzv,r1v72,r2v63,pitres,chdet,r1v15,doxodsn,drras,r2v79,r2v75,r2v54,rasq,rasres,prod
natdox,1.0,-0.005974236020804791,-0.005415367272787596,0.03098384179472774,-0.07787101571294475,0.1292899094016361,-0.012319575111980646,-0.0017459231935010413,-0.028833834174944412,-0.0399886648839904,0.1831486192473291,0.013082564436342361,0.05165003168601868,0.14051127889663265,0.06084394575847889,-0.025322353075900188,-0.008457867506460725,-0.027111341162719012,-0.0009260525773450046,-0.05791852069726858
r2v78,-0.005974236020804791,1.0,0.0455776516447066,0.01750546687998601,-0.0049929730648532854,0.008093283177421574,0.0068607621867253655,,-0.04816546190749351,0.012905977040678763,0.0025218273861409668,-0.0006046490892158684,0.012664047811564303,-0.004666793458093951,0.022363282627353997,0.008638527451026966,0.028525661282772917,0.013660471374213794,0.00877987447721053,0.010143444058844972
r2v53,-0.005415367272787596,0.0455776516447066,1.0,0.058261295406355204,0.009444197277262584,-0.0013278113565012763,0.000556721208999542,0.012834701634019284,-0.016617802894888175,-0.004136855543396944,-0.012621951017446318,-0.006491485759920597,-0.0017871042788636454,0.008067572643555733,0.004340152979179368,0.0185481878281405,0.33979459532398815,0.012221972969451256,0.00928892986450562,-0.0029840634120790062
r2v4,0.03098384179472774,0.01750546687998601,0.058261295406355204,1.0,0.04912471085016488,-0.02382392880977915,-0.015593732175972938,0.1852641301150014,-0.10504155807102904,-0.03417956080719936,-0.07482164098522764,-0.0004976647784505888,-0.034613858093264005,0.03981492832377339,0.13387000230427765,0.025210395257846584,0.07443635963764388,0.03398021789915369,0.02274296778393583,-0.0009055325430523379
r1v16,-0.07787101571294475,-0.0049929730648532854,0.009444197277262584,0.04912471085016488,1.0,-0.09843866881505253,-0.013319373605273053,0.09070939542455632,-0.062167512782865586,-0.031208935544109476,-0.2971414337198861,-0.32639788849872764,-0.10969158285928177,0.016621979747144987,0.01660483485553965,0.026290176156695863,0.013848131342989836,0.24993756825627864,0.20499539546156978,-0.11154033881997606
neprod,0.1292899094016361,0.008093283177421574,-0.0013278113565012763,-0.02382392880977915,-0.09843866881505253,1.0,0.1701153629184438,-0.11468712522703345,0.01646573731092128,0.21823822526179612,0.14627789653040107,-0.005418634262400206,0.6472067651107221,0.1781835699931261,-0.06791071681426747,-0.011479764096223043,-0.007715012551872646,0.5235787628876,0.4630281182933894,0.3172566001825835
kvzv,-0.012319575111980646,0.0068607621867253655,0.000556721208999542,-0.015593732175972938,-0.013319373605273053,0.1701153629184438,1.0,-0.034081026165080505,0.0010287385556772154,0.13580705455486883,0.0024191481257724427,0.000466844994971693,0.2512657902599821,0.06097194962353174,-0.026052511488347876,-0.006571196867538621,0.0013474920874265307,0.19024625216446933,0.2004258965794369,0.10868477956335312
r1v72,-0.0017459231935010413,,0.012834701634019284,0.1852641301150014,0.09070939542455632,-0.11468712522703345,-0.034081026165080505,1.0,0.0340320274403946,-0.06366270201825684,-0.23918656394578966,0.156756481796712,-0.15940246278067802,-0.0025732095961084676,,,0.0182675995582951,-0.058205473174169374,-0.08137669260837888,-0.06157708112454492
r2v63,-0.028833834174944412,-0.04816546190749351,-0.016617802894888175,-0.10504155807102904,-0.062167512782865586,0.01646573731092128,0.0010287385556772154,0.0340320274403946,1.0,0.012641896704330618,0.13668199797440791,0.06131965776353024,-0.009676784375791203,-0.0619014349952265,-0.6325689783012873,-0.05177584785616811,-0.024108560701544136,-0.11148799696384609,-0.09180202144403142,-0.01713351678337409
pitres,-0.0399886648839904,0.012905977040678763,-0.004136855543396944,-0.03417956080719936,-0.031208935544109476,0.21823822526179612,0.13580705455486883,-0.06366270201825684,0.012641896704330618,1.0,0.012970724177247591,0.008089695392082288,0.3847082543592889,0.04332894311868554,-0.0665775069228863,0.01973576507390891,-0.005013704687123174,0.30266023542291176,0.2596335318841705,0.20488038094968572
