,natdox,r2v78,r2v53,r2v4,r1v16,neprod,kvzv,r1v72,r2v63,pitres,chdet,r1v15,doxodsn,drras,r2v79,r2v75,r2v54,rasq,rasres,prod
natdox,1.0,,-0.0032866878522369936,0.007200709834519221,-0.03373947334253552,0.003777894705126244,-0.04551394948747041,-0.02334619142439022,0.029280002306462043,-0.0452158267810393,0.09261387936704071,0.0020053363439452377,-0.12006297535067824,-0.07056699560104611,-0.024220333868477245,,,-0.004370736968254891,0.01066472781578331,-0.18075433190850035
r2v78,,,,,,,,,,,,,,,,,,,,
r2v53,-0.0032866878522369936,,1.0,0.019959321843445434,0.001919768171545587,-0.0022360373307194125,-0.0030695077921231344,,-0.006819215531917634,-0.0014613830880161674,-0.011478915087335196,0.005680946883761132,-0.009964647311091996,-0.007571923829602595,0.033104579079089334,,,0.00381502424542363,0.0014411444737619983,-0.011150336776862448
r2v4,0.007200709834519221,,0.019959321843445434,1.0,0.1321700134816176,-0.019849386392422303,-0.009317864702547906,0.1015570005504173,-0.004949359329479297,-0.011888922569197392,-0.09505226498963382,-0.046311073895485916,-0.04356739508377269,0.0027155734825545547,0.5734654675481627,,,0.033897930901390046,0.03655248175655905,-0.04592481981365805
r1v16,-0.03373947334253552,,0.001919768171545587,0.1321700134816176,1.0,-0.03917491222509459,-0.03236247664596127,0.015100447950828697,-0.047675371837601746,0.0019527941710267935,-0.23406613365378356,-0.36805779444807574,-0.08180735822398749,-0.0009350298599613753,0.16480930685736453,,,0.27594898633048287,0.2713202029215926,-0.0899725962462338
neprod,0.003777894705126244,,-0.0022360373307194125,-0.019849386392422303,-0.03917491222509459,1.0,0.3272594548608857,-0.11384813231763669,-0.09285956335855515,0.12228296784945891,0.0832426854685815,-0.00929149355185022,0.6590416690706604,0.2296600741106056,-0.0627072445165089,,,0.408367987985996,0.41891493919684863,0.2622812565349648
kvzv,-0.04551394948747041,,-0.0030695077921231344,-0.009317864702547906,-0.03236247664596127,0.3272594548608857,1.0,-0.026833036020301893,-0.0018613920838185356,0.05169505453958492,0.05041839544185477,0.020246737254196946,0.2915674969529649,0.132112093294634,-0.010127283146381305,,,0.10355338153251618,0.11767013850719657,0.1872486322041771
r1v72,-0.02334619142439022,,,0.1015570005504173,0.015100447950828697,-0.11384813231763669,-0.026833036020301893,1.0,,-0.023502781131495704,-0.26699153529111014,0.09571102261591329,-0.09589339489048475,0.035930009339544544,,,,0.037119645124860205,0.009162325780884661,-0.0008223844137855628
r2v63,0.029280002306462043,,-0.006819215531917634,-0.004949359329479297,-0.047675371837601746,-0.09285956335855515,-0.0018613920838185356,,1.0,0.0004804698329594803,0.019293369839324045,0.025504466251204713,-0.18578083679238933,-0.10490234087682206,-0.36819606112753034,,,-0.19143992144656624,-0.19833609655783738,-0.15081043006843872
pitres,-0.0452158267810393,,-0.0014613830880161674,-0.011888922569197392,0.0019527941710267935,0.12228296784945891,0.05169505453958492,-0.023502781131495704,0.0004804698329594803,1.0,-0.011325866209035489,-0.005994206142490154,0.19023892498805559,0.0016391540134496493,-0.008343446360729876,,,0.1658175837754519,0.16586097363890928,0.05148709927022459
chdet,0.09261387936704071,,-0.011478915087335196,-0.09505226498963382,-0.23406613365378356,0.0832426854685815,0.05041839544185477,-0.26699153529111014,0.019293369839324045,-0.011325866209035489,1.0,-0.08340415282397638,0.14549521928190792,-0.04427871518191762,-0.12353394056695303,,,-0.34533306733557095,-0.3446568123742873,0.1768444377671335
r1v15,0.0020053363439452377,,0.005680946883761132,-0.046311073895485916,-0.36805779444807574,-0.00929149355185022,0.020246737254196946,0.09571102261591329,0.025504466251204713,-0.005994206142490154,-0.08340415282397638,1.0,0.08742835308972595,0.06766272418683411,-0.08033782997247632,,,-0.15722690610013218,-0.15296829090656336,0.1312374188466646
doxodsn,-0.12006297535067824,,-0.009964647311091996,-0.04356739508377269,-0.08180735822398749,0.6590416690706604,0.2915674969529649,-0.09589339489048475,-0.18578083679238933,0.19023892498805559,0.14549521928190792,0.08742835308972595,1.0,0.39523168411757154,-0.08692122469347649,,,0.5003861516639451,0.5132410643302255,0.8498181032540293
drras,-0.07056699560104611,,-0.007571923829602595,0.0027155734825545547,-0.0009350298599613753,0.2296600741106056,0.132112093294634,0.035930009339544544,-0.10490234087682206,0.0016391540134496493,-0.04427871518191762,0.06766272418683411,0.39523168411757154,1.0,-0.016422870506054194,,,0.2121592705415693,0.24964573903185527,0.33575434970312173
r2v79,-0.024220333868477245,,0.033104579079089334,0.5734654675481627,0.16480930685736453,-0.0627072445165089,-0.010127283146381305,,-0.36819606112753034,-0.008343446360729876,-0.12353394056695303,-0.08033782997247632,-0.08692122469347649,-0.016422870506054194,1.0,,,0.04998198247511417,0.046866289895382426,-0.06332751157676346
r2v75,,,,,,,,,,,,,,,,,,,,
r2v54,,,,,,,,,,,,,,,,,,,,
