ter,year,doxodn,r1v2,chlico,food_share,savings_rate,pol_female_pct,mest_urban_pct
01,2016,148686.74,42.1,2.7,40.63,22.93,56.28,52.78
01,2017,152191.98,42.42,2.68,40.61,22.67,56.34,51.68
01,2018,152864.04,41.67,2.74,39.08,20.87,56.37,52.91
01,2019,159187.05,42.36,2.78,39.48,20.77,56.63,53.59
01,2020,163080.96,41.4,2.75,40.7,23.52,56.94,54.34
01,2021,173911.65,41.24,2.77,40.13,22.72,56.24,55.5
01,2022,186962.88,40.06,2.82,42.62,21.28,56.45,54.91
01,2023,212032.32,41.92,2.74,41.71,20.09,57.4,55.28
03,2016,152167.71,40.52,2.9,42.41,17.23,55.37,53.3
03,2017,167299.36,41.5,2.87,41.83,18.28,56.01,52.41
03,2018,178050.48,41.86,2.81,42.03,19.34,55.77,52.03
03,2019,185237.06,42.97,2.8,42.49,18.73,55.02,51.93
03,2020,189441.19,44.13,2.77,44.9,20.15,56.19,51.09
03,2021,204781.67,44.73,2.77,44.04,19.01,56.8,50.98
03,2022,223056.42,45.41,2.72,45.04,17.78,57.21,50.66
03,2023,237356.14,45.75,2.7,45.69,17.67,57.06,49.93
07,2016,147990.07,42.48,2.86,40.11,19.54,56.61,50.3
07,2017,151469.95,41.92,2.9,38.04,18.85,56.17,51.78
07,2018,151694.1,40.22,3.01,35.53,16.84,56.35,49.63
07,2019,168496.17,41.11,2.97,35.2,19.28,57.93,49.91
07,2020,176250.08,42.05,2.94,38.2,19.99,57.6,50.6
07,2021,195624.2,42.68,2.94,39.71,19.75,56.93,50.63
07,2022,206464.3,41.32,2.97,42.56,17.66,55.67,52.58
07,2023,250507.32,42.71,2.9,43.48,17.82,57.94,51.4
12,2016,186864.94,34.4,3.18,40.64,20.29,55.62,62.84
12,2017,188993.63,33.55,3.28,38.21,20.9,55.59,64.12
12,2018,208031.55,34.59,3.23,38.13,20.0,54.85,63.93
12,2019,222052.77,34.08,3.22,38.85,20.35,54.74,64.6
12,2020,232046.83,34.81,3.24,41.07,20.99,54.94,64.73
12,2021,246245.16,34.83,3.31,41.22,17.94,54.48,64.6
12,2022,250016.75,34.34,3.38,43.4,17.69,52.71,64.86
12,2023,266679.29,34.2,3.32,45.2,16.55,52.7,61.77
18,2016,148775.06,37.19,3.14,40.74,19.94,55.7,73.08
18,2017,161566.32,37.91,3.1,40.93,18.64,56.34,72.24
18,2018,171749.59,38.33,3.12,40.13,18.24,57.01,72.49
18,2019,188094.55,38.2,3.16,41.09,19.26,56.64,72.67
18,2020,190236.31,38.03,3.15,42.37,19.12,55.83,73.16
18,2021,203645.56,38.62,3.11,41.74,19.69,56.02,72.52
18,2022,226803.49,38.48,3.11,43.29,19.1,56.47,73.07
18,2023,248641.0,39.89,3.03,42.57,15.62,57.19,72.92
26,2016,73025.33,37.25,4.5,67.79,8.12,49.73,36.26
26,2017,83287.14,37.76,4.5,68.06,11.49,49.73,36.26
26,2018,99066.05,38.38,4.47,64.16,8.53,50.11,36.12
26,2019,116495.13,36.33,4.87,64.63,6.23,50.93,32.74
26,2020,147523.11,36.32,4.72,63.55,5.64,51.11,33.37
26,2021,125800.42,33.9,5.22,58.35,5.22,51.58,35.64
26,2022,119411.01,34.4,5.2,54.79,5.62,51.14,36.65
26,2023,137079.1,35.53,5.17,57.12,4.6,51.64,36.68
40,2016,311496.03,40.94,2.59,36.3,24.49,58.0,100.0
40,2017,331645.03,41.48,2.55,34.99,25.27,58.18,100.0
40,2018,334760.84,42.19,2.57,34.09,26.75,57.87,100.0
40,2019,365039.41,42.85,2.56,34.57,25.59,58.47,100.0
40,2020,361260.45,43.19,2.54,38.57,26.68,58.31,100.0
40,2021,377095.36,42.44,2.58,37.12,25.42,57.23,100.0
40,2022,397821.55,42.82,2.57,38.9,24.32,57.23,100.0
40,2023,399694.19,41.69,2.66,39.23,23.96,57.14,100.0
45,2016,264612.35,40.5,2.8,36.89,19.06,57.12,100.0
45,2017,284624.35,41.69,2.81,36.5,18.87,57.27,100.0
45,2018,279724.97,40.34,2.96,34.6,18.76,56.48,100.0
45,2019,327569.86,40.71,2.99,35.18,19.24,56.04,100.0
45,2020,320002.58,41.39,2.92,39.04,20.16,55.92,100.0
45,2021,356687.11,42.28,2.89,38.26,20.06,56.48,100.0
45,2022,393749.81,42.4,2.87,38.03,20.23,56.48,100.0
45,2023,412820.96,43.66,2.85,36.79,20.4,56.74,100.0
46,2016,161439.86,44.86,2.58,46.84,7.61,56.79,82.52
46,2017,172988.95,44.81,2.62,46.59,7.57,56.13,83.03
46,2018,186874.69,44.87,2.6,42.72,6.27,56.1,83.57
46,2019,204140.49,45.63,2.58,42.18,6.11,56.23,83.61
46,2020,201117.12,46.17,2.55,44.83,6.63,56.36,83.46
46,2021,234363.91,46.16,2.56,44.13,13.65,56.32,83.51
46,2022,273308.85,45.82,2.56,43.75,16.45,56.86,82.83
46,2023,287861.88,46.61,2.58,42.83,16.77,57.32,83.09
60,2016,136598.93,43.97,2.88,43.53,17.62,58.26,66.19
60,2017,150606.55,43.59,2.81,43.0,17.05,58.06,66.37
60,2018,158909.22,43.42,2.84,42.81,17.96,57.65,66.36
60,2019,171573.15,44.54,2.78,42.24,17.61,58.07,65.15
60,2020,171706.21,44.76,2.78,43.33,18.25,57.92,64.55
60,2021,186150.22,45.08,2.73,42.31,17.89,58.15,65.15
60,2022,207249.01,45.91,2.66,43.47,16.32,58.97,64.62
60,2023,232623.81,45.97,2.64,44.42,18.03,58.33,63.43
76,2016,152294.69,33.8,3.34,41.04,18.3,55.58,60.03
76,2017,170602.92,36.82,3.15,41.34,19.4,57.21,62.09
76,2018,173931.07,36.22,3.13,39.71,20.48,57.17,64.97
76,2019,209694.09,36.87,3.09,39.74,23.17,56.95,65.6
76,2020,225106.21,37.61,3.05,41.07,22.91,58.4,64.05
76,2021,223564.85,37.89,3.08,42.42,20.62,58.12,63.05
76,2022,273953.83,39.31,2.99,43.79,19.87,58.05,64.37
76,2023,316539.58,40.09,2.95,43.07,19.64,58.44,63.44
79,2016,172441.6,39.53,3.23,41.49,25.23,55.93,48.86
79,2017,174919.98,38.76,3.24,40.17,25.62,54.73,51.44
79,2018,184475.74,38.72,3.27,40.31,24.03,54.9,53.63
79,2019,203433.23,40.1,3.24,41.8,24.33,55.69,52.68
79,2020,209871.8,39.11,3.32,42.77,24.9,55.84,52.3
79,2021,219730.51,38.56,3.34,42.11,23.44,55.41,51.85
79,2022,250795.99,39.32,3.4,45.79,22.14,56.16,50.41
79,2023,299083.3,40.13,3.25,43.43,19.99,56.87,51.15
80,2016,166943.82,36.28,3.12,39.7,20.21,55.85,63.22
80,2017,179902.14,35.71,3.19,38.94,20.75,55.95,62.92
80,2018,185513.85,36.21,3.22,37.2,21.01,55.49,62.57
80,2019,195771.49,36.02,3.26,36.37,20.75,55.89,61.79
80,2020,145891.73,36.72,3.28,39.33,22.45,56.28,62.11
80,2021,214675.45,36.6,3.3,37.42,19.75,56.03,61.9
80,2022,235036.87,36.8,3.29,39.61,21.04,56.02,61.88
80,2023,274773.22,37.77,3.22,38.98,21.01,57.05,62.73
81,2016,128567.21,36.64,3.38,42.66,21.0,56.3,63.32
81,2017,136139.62,37.81,3.34,40.01,21.64,55.97,62.68
81,2018,135445.63,37.65,3.31,40.23,20.54,56.52,60.75
81,2019,153524.49,38.26,3.27,38.78,22.47,55.85,59.91
81,2020,159744.19,38.78,3.25,40.61,21.2,56.26,61.38
81,2021,175087.81,39.32,3.27,39.49,22.78,55.83,60.78
81,2022,194365.96,39.46,3.23,41.43,23.39,55.47,60.56
81,2023,223297.47,41.07,3.15,41.67,23.27,56.04,61.38
82,2016,82958.85,38.07,4.04,62.27,4.03,51.81,37.55
82,2017,79345.42,34.22,4.08,61.25,5.24,51.73,37.03
82,2018,121200.56,36.52,4.0,63.71,6.09,51.25,36.66
82,2019,137911.51,36.94,3.99,62.45,7.97,50.31,36.74
82,2020,133030.86,37.64,3.99,62.97,9.03,50.39,37.28
82,2021,148075.25,37.45,3.99,62.14,7.55,50.22,36.11
82,2022,151430.72,36.94,3.99,62.89,7.86,50.86,37.75
82,2023,155606.87,36.53,4.06,60.73,8.64,50.35,35.06
83,2016,141933.86,38.51,3.92,40.08,19.44,53.16,57.02
